Comment,Designator,Footprint,JLCPCB Part #
330R,R5,R_0805_2012Metric,C17630
330R,R6,R_0805_2012Metric,C17630
330R,R7,R_0805_2012Metric,C17630
10K,R8,R_0805_2012Metric,C17414
10K,R9,R_0805_2012Metric,C17414
10K,R10,R_0805_2012Metric,C17414
100nF,C12,C_0805_2012Metric,C49678
100nF,C13,C_0805_2012Metric,C49678
100nF,C14,C_0805_2012Metric,C49678
Tactile Button 6mm,SW1,SW_PUSH_6mm_H5mm,C110153
Tactile Button 6mm,SW2,SW_PUSH_6mm_H5mm,C110153
Tactile Button 6mm,SW3,SW_PUSH_6mm_H5mm,C110153
Green LED 5mm,LED3,LED_D5.0mm,C2297
Blue LED 5mm,LED4,LED_D5.0mm,C72041
Red LED 5mm,LED5,LED_D5.0mm,C2286
Molex 43045-0812,J6,Molex_Micro-Fit_3.0_43045-0812_2x04_P3.00mm_Vertical,
