Designator,Mid X,Mid Y,Rotation,Layer
C12,86.0000,-39.0000,180.0,Bottom
C13,85.5500,-50.5000,180.0,Bottom
C14,85.5500,-55.5000,180.0,Bottom
J6,102.5000,-38.0000,180.0,Bottom
R5,101.5875,-51.0000,180.0,Bottom
R6,101.5875,-60.5000,180.0,Bottom
R7,101.5875,-69.0000,180.0,Bottom
R8,86.0000,-43.5000,180.0,Bottom
R9,85.9125,-64.0000,180.0,Bottom
R10,86.0000,-68.5000,180.0,Bottom
LED3,94.4600,-50.5000,0.0,Top
LED4,94.2250,-59.5000,0.0,Top
LED5,94.2250,-68.5000,0.0,Top
SW1,75.0000,-38.5000,0.0,Top
SW2,75.0000,-51.0000,0.0,Top
SW3,75.0000,-64.0000,0.0,Top
