Designator,Mid X,Mid Y,Rotation,Layer
C1,67.0000,-57.5000,0.0,Top
C2,72.0500,-52.5000,0.0,Top
C3,62.5000,-61.0000,0.0,Top
C4,62.5000,-57.5000,0.0,Top
C5,53.5000,-61.5000,0.0,Top
C6,59.0000,-39.5000,0.0,Top
C7,66.0000,-66.5000,0.0,Top
C8,72.5000,-39.0000,0.0,Top
C9,84.5000,-52.5000,0.0,Top
C10,43.5000,-33.5000,0.0,Top
C11,60.0000,-33.5000,0.0,Top
C12,68.0000,-33.5000,0.0,Top
C13,78.0000,-52.5000,0.0,Top
C14,51.5000,-33.5000,0.0,Top
C21,67.0000,-61.0000,0.0,Top
D1,48.0000,-64.0000,0.0,Top
D2,48.0000,-69.5000,0.0,Top
F1,46.0000,-76.5000,0.0,Top
J1,62.7700,-27.7700,90.0,Top
J2,73.0000,-72.5000,0.0,Top
J3,91.5000,-56.5000,0.0,Top
J4,36.5000,-42.9400,-90.0,Top
J5,36.8275,-62.4550,-90.0,Top
J6,91.5000,-34.7250,0.0,Top
J7,91.5000,-42.5000,0.0,Top
JP1,45.0000,-46.6650,0.0,Top
L1,77.5000,-62.5000,0.0,Top
LED1,81.9600,-36.5000,0.0,Top
LED2,45.2300,-57.4400,0.0,Top
R1,52.5000,-40.5000,0.0,Top
R2,53.0000,-57.0000,0.0,Top
R3,84.5000,-47.0000,0.0,Top
R4,76.0875,-33.5000,0.0,Top
R_FB1,57.5000,-57.5000,0.0,Top
R_FB2,57.9125,-61.0000,0.0,Top
U1,63.0000,-48.4400,0.0,Top
U2,75.5250,-45.9050,0.0,Top
U3,57.4300,-66.2500,0.0,Top
Y1,53.0000,-46.5000,-90.0,Top
