"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R_FB2,R_FB1";"R_0805_2012Metric";2;"R";;;
2;"JP1,J6";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02";;;
3;"LED2,LED1";"LED_D3.0mm";2;"LED";;;
4;"F1";"Fuseholder_Clip-5x20mm_Littelfuse_111_Inline_P20.00x5.00mm_D1.05mm_Horizontal";1;"Fuse";;;
5;"J4";"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal";1;"Screw_Terminal_01x03";;;
6;"C11,C4,C3,C12,C10";"C_0805_2012Metric";5;"110nF";;;
7;"C1,C21,C5,C6,C9";"C_0805_2012Metric";5;"C";;;
8;"R2,R1";"R_0805_2012Metric";2;"330";;;
9;"U3";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm";1;"MP1584EN-LF-Z";;;
10;"C2";"C_0805_2012Metric";1;"22pF";;;
11;"Y1";"Crystal_HC49-4H_Vertical";1;"Crystal";;;
12;"U1";"SOIC-18W_7.5x11.6mm_P1.27mm";1;"MCP2515-xSO";;;
13;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SN65HVD230";;;
14;"D2,D1";"D_SMA";2;"D_Schottky";;;
15;"C14,C13";"C_0805_2012Metric";2;"10microF";;;
16;"J5";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Screw_Terminal_01x02";;;
17;"J7";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
18;"L1";"L_Bourns_SRR1260";1;"L";;;
19;"C8,C7";"C_1210_3225Metric";2;"C";;;
20;"J1";"Pin_Header_Straight_2x20";1;"Conn_02x20_Odd_Even";;;
21;"R3";"R_0805_2012Metric";1;"120";;;
22;"R4";"R_0805_2012Metric";1;"10k";;;
23;"J2";"Molex_Micro-Fit_3.0_43045-0812_2x04_P3.00mm_Vertical";1;"Conn_02x04_Odd_Even";;;
24;"J3";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
